"id";"timestamp";"activity"
"57";"01-01-1970 01:06:42.200";"y-S1_0"
"57";"01-01-1970 01:06:43.500";"y-S2_0"
"55";"01-01-1970 01:06:43.900";"IN_5_3-x"
"22";"01-01-1970 01:06:44.100";"IN_6_3-x"
"68";"01-01-1970 01:06:45.700";"IN_6_3-x"
"6";"01-01-1970 01:06:46.700";"IN_5_3-x"
"9";"01-01-1970 01:06:47.300";"IN_7_3-y"
"40";"01-01-1970 01:06:48.200";"IN_1_3-x"
"18";"01-01-1970 01:06:48.700";"IN_7_3-y"
"58";"01-01-1970 01:06:50.300";"IN_7_3-y"
"45";"01-01-1970 01:06:50.400";"IN_1_3-x"
"40";"01-01-1970 01:06:50.400";"IN_2_3-x"
"55";"01-01-1970 01:06:51.400";"IN_6_3-x"
"45";"01-01-1970 01:06:52.600";"IN_2_3-x"
"56";"01-01-1970 01:06:53.400";"IN_7_3-y"
"40";"01-01-1970 01:06:53.400";"IN_3_3-x"
"6";"01-01-1970 01:06:54.200";"IN_6_3-x"
"45";"01-01-1970 01:06:55.600";"IN_3_3-x"
"40";"01-01-1970 01:06:55.600";"IN_4_3-x"
"22";"01-01-1970 01:06:55.700";"IN_7_3-y"
"61";"01-01-1970 01:06:55.800";"y-S1_0"
"69";"01-01-1970 01:06:57.200";"IN_1_3-x"
"68";"01-01-1970 01:06:57.300";"IN_7_3-y"
"72";"01-01-1970 01:06:57.400";"IN_3_3-x"
"71";"01-01-1970 01:06:57.700";"IN_6_3-x"
"45";"01-01-1970 01:06:57.800";"IN_4_3-x"
"83";"01-01-1970 01:06:57.900";"IN_1_0"
"81";"01-01-1970 01:06:57.900";"IN_2_0"
"79";"01-01-1970 01:06:57.900";"IN_3_0"
"77";"01-01-1970 01:06:57.900";"IN_4_0"
"82";"01-01-1970 01:06:57.900";"IN_5_0"
"78";"01-01-1970 01:06:57.900";"IN_6_0"
"80";"01-01-1970 01:06:57.900";"IN_7_0"
"73";"01-01-1970 01:06:59.000";"IN_7_3-y"
"69";"01-01-1970 01:06:59.300";"IN_2_3-x"
"72";"01-01-1970 01:06:59.500";"IN_4_3-x"
"25";"01-01-1970 01:06:59.500";"IN_5_3-x"
"39";"01-01-1970 01:07:00.800";"IN_2_3-x"
"70";"01-01-1970 01:07:01.100";"IN_4_3-x"
"69";"01-01-1970 01:07:02.300";"IN_3_3-x"
"55";"01-01-1970 01:07:03.000";"IN_7_3-y"
"39";"01-01-1970 01:07:03.700";"IN_3_3-x"
"75";"01-01-1970 01:07:03.900";"IN_5_3-x"
"69";"01-01-1970 01:07:04.500";"IN_4_3-x"
"6";"01-01-1970 01:07:05.800";"IN_7_3-y"
"39";"01-01-1970 01:07:05.900";"IN_4_3-x"
"25";"01-01-1970 01:07:07.000";"IN_6_3-x"
"48";"01-01-1970 01:07:07.200";"y-S1_0"
"11";"01-01-1970 01:07:08.700";"y-S1_0"
"71";"01-01-1970 01:07:09.200";"IN_7_3-y"
"11";"01-01-1970 01:07:10.000";"y-S2_0"
"51";"01-01-1970 01:07:10.200";"y-S1_0"
"75";"01-01-1970 01:07:11.300";"IN_6_3-x"
"49";"01-01-1970 01:07:13.100";"y-S1_0"
"66";"01-01-1970 01:07:14.800";"y-S1_0"
"66";"01-01-1970 01:07:16.100";"y-S2_0"
"62";"01-01-1970 01:07:17.100";"IN_5_3-x"
"25";"01-01-1970 01:07:18.600";"IN_7_3-y"
"65";"01-01-1970 01:07:18.800";"IN_5_3-x"
"79";"01-01-1970 01:07:20.200";"IN_3_3-x"
"80";"01-01-1970 01:07:20.200";"IN_7_3-y"
"63";"01-01-1970 01:07:20.400";"IN_5_3-x"
"79";"01-01-1970 01:07:22.300";"IN_4_3-x"
"35";"01-01-1970 01:07:23.000";"z-x"
